CD_BAIRRO,NM_BAIRRO,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034
3304557052,Lins de Vasconcelos,12135,8222,984,2929,0,0,11549,586,0,9786,2349,0,11648,487,0,3453,8682,0,7,12128,0,9291,2844,0,7096,2195,2844,933,8358,2844,2606,1141,1343,7045,0
3304557053,Méier,17461,16980,395,84,0,2,17163,296,2,17078,381,2,17446,13,2,4990,12469,2,0,17459,2,17197,262,2,8603,8594,264,7284,9913,264,1677,1883,2249,11650,2
3304557054,Todos os Santos,9458,9225,140,1,0,92,9366,0,92,8875,491,92,9222,144,92,2516,6850,92,435,8931,92,9209,157,92,5427,3782,249,1117,8092,249,1207,1240,1242,5677,92
3304557055,Cachambi,16263,14472,1007,101,0,683,15580,0,683,14408,1172,683,14838,742,683,4382,11198,683,133,15447,683,14874,706,683,9418,5456,1389,1479,13395,1389,1094,661,1881,11944,683
3304557056,Engenho de Dentro,17449,14261,1677,1114,0,397,16750,302,397,16188,864,397,16606,446,397,5653,11399,397,1419,15633,397,14916,2136,397,7965,6951,2533,3497,11419,2533,3569,1488,2295,9700,397
3304557057,Água Santa,2617,2171,412,5,0,29,2525,63,29,2390,198,29,2527,61,29,618,1970,29,0,2588,29,2291,297,29,1977,314,326,0,2291,326,43,198,526,1821,29
3304557058,Encantado,5040,4763,70,207,0,0,4834,206,0,4792,248,0,4874,166,0,1389,3651,0,96,4944,0,4824,216,0,3883,941,216,36,4788,216,967,881,831,2361,0
3304557059,Piedade,15403,12997,1128,921,0,357,14663,383,357,13409,1637,357,14348,698,357,3315,11731,357,9,15037,357,13633,1413,357,10272,3361,1770,407,13226,1770,4366,3332,2073,5275,357
3304557060,Abolição,3842,3591,214,37,0,0,3842,0,0,3718,124,0,3842,0,0,896,2946,0,0,3842,0,3805,37,0,3774,31,37,1096,2709,37,785,1082,456,1519,0
3304557061,Pilares,9268,6675,1771,728,0,94,9152,22,94,8250,924,94,9073,101,94,1521,7653,94,0,9174,94,8644,530,94,8195,449,624,952,7692,624,2572,2070,1561,2971,94
3304557062,Vila Kosmos,5635,2670,2487,478,0,0,5632,3,0,4768,867,0,5616,19,0,461,5174,0,0,5635,0,4709,926,0,3874,835,926,184,4525,926,3016,700,201,1718,0
3304557063,Vicente de Carvalho,8191,5628,462,2101,0,0,7948,243,0,6218,1973,0,7715,476,0,1032,7159,0,11,8180,0,6092,2099,0,4540,1552,2099,1435,4657,2099,3046,1512,982,2651,0
3304557064,Vila da Penha,8881,8839,42,0,0,0,8881,0,0,8459,422,0,8841,40,0,619,8262,0,263,8618,0,8881,0,0,3679,5202,0,2964,5917,0,996,985,1456,5444,0
